Name,Tests,Weight (g),Shaft diameter (mm),Kv value (rpm/v),Magnetic poles
T-Motor Antigravity MN5008 KV340,65,135,4,340,28
MultiStar Elite 2306 2150KV CCW,26,37.5,4,2150,14
RCTimer 5010-530KV,26,,,,
DYS Samguk Shu 2306 2500kv,22,33.59,5,2500,14
DYS Samguk Wei 2207 2600kv,22,34.09,5,2600,14
T-Motor AS2820 KV880,20,,,,
T-Motor MN4014,19,171,4,400,
Xoar TA130-25 KV80,19,,8,80,
T-Motor Antigravity MN4004 300kV,18,53,4,300,24
Gemfan M2306L 2200kv Brushless Outrunner Motor CCW,17,30,5,2200,14
Hypetrain Blaster 2207 2450Kv,14,36.96,5,2450,14
T-Motor Antigravity MN5006 450KV,14,106,4,450,28
T-Motor AT2814 900KV,14,107,5,900,12
T-Motor MN3110 780kV,13,,,,
T-Motor MN501S KV240,13,170,6,240,28
EMAX RSII 2207 2300Kv,12,32.37,5,2300,14
T-Motor U5 KV400,11,,,,
KDE Direct KDE4012XF-400,10,145,4,400,24
KDE Direct KDE4014XF-380,10,160,4,380,24
iFlight Xing Nano X1103 8000kv,9,3.95,1.5,8000,12
LDPower UFO3505 650KV,9,61,6,650,14
T-Motor Antigravity MN5008 KV170,9,128,4,170,28
T-Motor LF40 2305,9,26,3,2450,14
Flywoo Nin 1404 V2 3750KV,8,,,,
T Motor U7,8,,,,
T-Motor AT2826 KV900,8,175,5,900,14
HGLRC HF1407 3600kv - Flame,7,,5,3600,12
KDE Direct KDE4014XF-300,7,160,4,300,24
QAV RT2206-2000KV Quad Racing Motor CW,7,29.1,5,2000,14
Xoar TA110-20 KV80,7,1093,,80,40
Hacker A30-14L V4  800KV,6,143,5,800,14
Iris 880KV,6,39,4,880,12
Racerstar BR2306S 2400kv,6,33.43,5,2400,14
RCbenchmark x Xoar 2407 1500kv,6,36,5,1500,14
RCbenchmark x Xoar 2407 2300kv,6,36,5,2300,14
SunnySky V4006 320KV,6,66,,320,24
T-Motor Antigravity MN6007 KV320,6,180,,320,28
T-Motor Antigravity MN6007II KV160,6,159,,160,28
T-Motor Antigravity MN7005 KV230,6,188,4,230,28
T-Motor MN4006,6,68,4,380,24
Brother Hobby 1404 - 4600KV,5,,,,
Holybro 2216 KV920,5,63,3.17,920,14
LDPower UFO4110 700KV,5,115,6,700,14
RCX RS1407 - 4100kv,5,18.1,5,4100,12
T-Motor 4014-11 KV330,5,,,,
T-Motor AS2814 KV900,5,,,,
T-Motor AS2820 KV1050,5,,,,
Turnigy 2836 Brushless Outrunner 1000kv,5,80,4,1000,14
SunnySky V4010 375KV,4,,,,
T-Motor Antigravity 4006 380KV,4,,4,,
T-Motor MN3510 360Kv,4,97,4,360,12
Vector Technics 6010PRO 160KV,4,240,6,160,28
EMAX 2306-2750KV,3,33.84,5,2750,14
EMAX ECOII-2807-1300KV,3,47.6,4,1300,14
Five33 Headsup 2207 1980kv,3,28.4,5,1980,12
T-Motor MN2806,3,46,4,650,14
T-Motor MN3510 630KV,3,118,,630,
T-Motor U15  V1,3,,,100,42
T-Motor U7 280kV,3,,,,
T-Motor U7 490kV,3,,,490,
TBS Ethix Mr Steele 2306 2345kv Silk V2,3,29.79,5,2345,14
Vector Technics 4006SL 380KV,3,67,4,380,24
Vector Technics 6010 PRO 430KV,3,240,6,430,28
DYS Samguk Wu 2206 2400kv,2,31.73,5,2400,14
Flywoo NIN 1404 V2 2750kv,2,10.4,1.5,2750,12
SR2306,2,,,870,12
T-Motor F22035-KV2850,2,,,,
T-Motor F40 PRO II Motor POPO - 2400kv,2,32.83,5,2400,14
T-Motor U15XXL Kv29,2,5130,151.5,29,
Vector Technics 4006SL 400KV,2,67,4,400,24
Vector Technics 4006SL 440KV,2,65,4,440,24
VLOX 2207 KV2550,2,,,,
Brother Hobby 3115 910kV,1,,,,
EMAX 1404 - 4800KV,1,,,,
EMAX ECOII-2004 - 2000KV,1,,,,
EMAX Emax 1104 5250KV Babyhawk,1,5.5,1.5,5250,12
EMAX XA2212,1,51,27.9,1400,14
Ethix Flat Rats v2 1507 KV2800,1,,,,
KDE Direct KDE2315XF-965,1,,6,965,14
KDE Direct KDE3510XF-475,1,,,,
Lumenier ZIP 2207 1750kv POPO,1,34.79,5,1750,14
MFO PropDrive 3530 1400Kv,1,90.31,5,1400,10
NeuMotor 3819,1,164,4,400,
Racerstar Air-A 2508 1200kv,1,,,,
Scorpion Power System LTD A-5025-220kv,1,523,8,220,14
Scorpion Power System LTD IM-8012-115kv,1,377,8,115,40
T-Motor F40 Pro II 1750kv,1,,,,
T-Motor MN4012,1,,,480,
T-Motor U15 V2,1,1780,,80,42
T-Motor U3 700KV,1,,,,
Turnigy D2836 Aerodrive 1100kv,1,70,4,1100,14
Vector Technics 4015 PRO 340KV,1,165,4,340,24
Vector Technics 4015 PRO 510KV,1,165,4,510,24
Vector Technics 6008SL 340KV,1,170,4,340,28
Vertiq 60-08 KV300 G1,1,210,4,300,28
Apex 2207 2675kv,0,,,,
BetaFPV BetaFPV 2004 1700kv,0,,,,
DJI DJI3515,0,,,,
Drone Drop Box Cutters - 2207 - 2450kv,0,35.1,5,2450,14
DYS Fire FPV Race Edition 2600KV Brushless Outrunner Motor,0,,5,2600,14
Engine Dia 28 KV 1155,0,,,,
FlashHobby BE1806 2300KV,0,,,,
Hobbywing XRotor X6 Plus Motor,0,,,,
Lumenier ZIP 2407 2550kv,0,39.15,5,2550,14
M2306L 2200kv Brushless Outrunner Motor CCW,0,,,,
Mechtex FL4004-350KV,0,,4,350,24
Racerstar BR2205 - 2600kv,0,28.4,5,2600,14
RCTimer RCTimer 5010-530KV,0,,,,
SunnySky x2208,0,,,,
SunnySky x2212,0,,,,
SunnySky X2820-7 KV 800,0,,,,
T-Motor Antigravity MN5008 KV400,0,,,,
T-Motor AT2317 1250KV,0,,,,
T-Motor AT5330A,0,,,,
T-Motor MN 501S KV 300,0,,,,
T-Motor MN4014 KV400 Brushless Motor,0,,,,
Turnigy D3536 Aerodrive 1000kv,0,102.8,5,1000,14
Unknown dia 27,0,48,,1155,14
Xoar 2407 2300kv,0,36,5,,
